Y,X,Stop_ID,plt,weight,Order_ID
37.58735561,127.0875552,S_95,1.16,293.7,O_80
37.58977313,127.0790295,S_96,0.5,128.89,O_81
37.58295676,127.0880694,S_97,0.13,30.98,O_82
37.57470151,127.0856085,S_98,0.11,67.37,O_83
37.58575279,127.0794745,S_99,0.18,96.0,O_84
37.57901366,127.0869674,S_100,0.26,231.15,O_85
37.59983752,127.0871613,S_101,0.21,67.5,O_86
37.59289195,127.0808518,S_102,0.1,72.0,O_87
37.60117128,127.080661,S_103,0.15,22.52,O_88
37.61241458,127.0784793,S_105,0.26,85.32,O_89
37.60056056,127.1014853,S_107,0.11,71.5,O_90
37.59189966,127.0949182,S_108,0.15,75.81,O_91
37.60586899,127.0995038,S_109,0.33,130.0,O_92
37.60625232,127.0941678,S_110,0.16,10.53,O_93
37.59105175,127.0032478,S_111,0.19,129.6,O_94
37.59084573,127.0146418,S_112,0.43,120.0,O_95
37.59398014,127.0204087,S_113,0.13,80.0,O_96
37.58037354,127.0228035,S_117,0.5,432.0,O_97
37.6014358,127.0166418,S_118,0.11,110.0,O_98
37.60446495,127.0111396,S_119,0.85,238.22,O_99
37.60895467,127.0041769,S_120,0.14,64.32,O_100
37.61335758,127.0070184,S_121,0.11,62.38,O_101
37.61048654,127.0194561,S_122,4.57,1585.15,O_102
37.60681328,127.0272803,S_123,0.98,834.27,O_103
37.59903437,127.0352236,S_124,0.13,50.4,O_104
37.61053624,127.035762,S_125,0.56,118.16,O_105
37.60577914,127.0478706,S_126,0.22,74.62,O_106
37.61406942,127.0436684,S_127,1.0,115.2,O_107
37.61239016,127.0544978,S_128,0.37,104.01,O_108
37.61655912,127.0566145,S_129,0.84,367.0,O_109
37.61297096,127.0614241,S_130,0.47,280.31,O_110
37.62505177,127.0197725,S_131,0.17,119.06,O_111
37.62709135,127.0269751,S_132,3.13,1377.17,O_112
37.61612179,127.0337803,S_133,0.14,35.0,O_113
37.61514822,127.0207421,S_135,0.11,61.5,O_114
37.63789129,127.0288472,S_136,0.25,264.0,O_115
37.6318813,127.0390622,S_137,0.13,88.0,O_116
37.62586737,127.0465907,S_138,1.0,650.0,O_117
37.6300516,127.0175594,S_139,0.13,125.0,O_118
37.6387147,127.0231464,S_141,0.18,100.0,O_119
37.64793425,127.0118697,S_142,0.13,87.65,O_120
37.64148693,127.0105968,S_143,0.8,480.0,O_121
37.64803784,127.0260513,S_144,0.31,54.0,O_122
37.65793243,127.0388203,S_145,0.3,136.4,O_123
37.64898155,127.0279211,S_146,1.07,1225.38,O_124
37.65646373,127.0284052,S_147,0.58,163.52,O_125
37.66422859,127.0406591,S_148,0.2,84.54,O_126
37.65917578,127.0280107,S_150,1.22,352.04,O_127
37.64837711,127.0438238,S_151,4.8,2952.0,O_128
37.64141508,127.035653,S_152,0.25,192.0,O_129
37.63799988,127.0429904,S_153,0.31,269.0,O_130
37.65223813,127.0515393,S_154,6.73,4843.0,O_131
37.65633441,127.0435868,S_155,0.93,408.54,O_132
37.67869086,127.0434133,S_156,0.16,115.18,O_133
37.66967564,127.046534,S_157,0.18,62.64,O_134
37.61999186,127.0628833,S_158,0.15,22.52,O_135
37.63250969,127.0507799,S_159,1.37,320.84,O_136
37.62100498,127.0692318,S_160,0.32,206.7,O_137
37.62477801,127.0737505,S_161,0.11,37.06,O_138
37.62128712,127.0833787,S_162,0.23,129.0,O_139
37.64055906,127.0725599,S_163,5.48,1890.58,O_140
37.63204326,127.0679518,S_164,0.13,75.0,O_141
37.64780328,127.0802862,S_165,0.57,407.34,O_142
37.65254803,127.0774758,S_166,0.15,234.0,O_143
37.64212979,127.0687318,S_167,1.0,990.36,O_144
37.65876366,127.0779752,S_168,0.1,18.65,O_145
37.67992984,127.0549605,S_169,0.45,295.6,O_146
37.67291123,127.0832363,S_171,0.12,43.99,O_147
37.66273707,127.069498,S_172,0.47,290.0,O_148
37.65488369,127.0669501,S_173,0.2,12.0,O_149
37.66673618,127.0515533,S_174,0.35,92.48,O_150
37.66452079,127.0638188,S_175,0.17,19.4,O_151
37.66128526,127.0602597,S_176,0.94,463.62,O_152
37.60245742,126.9288229,S_177,0.12,151.12,O_153
37.61035273,126.9320881,S_178,0.14,100.0,O_154
37.62368848,126.9166888,S_180,0.1,100.0,O_155
37.61175584,126.9103541,S_182,2.09,804.0,O_156
37.61417599,126.9208071,S_183,0.43,190.4,O_157
37.6006967,126.9267462,S_184,0.12,125.34,O_158
37.59458158,126.9230685,S_185,0.57,504.65,O_159
37.59222993,126.9157173,S_186,0.2,80.0,O_160
37.60440241,126.9151009,S_187,0.4,103.37,O_161
37.58352996,126.8936446,S_191,3.08,2045.46,O_162
37.63501732,126.9210378,S_192,1.46,767.36,O_163
37.56480697,126.9547199,S_193,1.08,275.6,O_164
37.55947096,126.9570364,S_195,0.29,246.0,O_165
37.55954878,126.9435048,S_196,0.11,39.84,O_166
37.57388703,126.9352207,S_197,0.15,140.5,O_167
37.58770606,126.9448892,S_198,0.51,252.5,O_168
37.58610547,126.9493691,S_199,2.72,2077.94,O_169
37.59376657,126.9496911,S_200,0.24,113.8,O_170
37.59885299,126.9471453,S_201,10.22,4070.15,O_171
37.58010825,126.9341504,S_202,0.31,60.0,O_172
37.57327487,126.9197797,S_203,0.13,42.98,O_173
37.57843406,126.9238669,S_204,0.68,200.88,O_174
37.57430267,126.9101907,S_205,0.83,366.0,O_175
37.58149091,126.9111755,S_206,0.1,16.7,O_176
37.55017417,126.9600328,S_207,0.44,93.1,O_177
37.54710694,126.9521571,S_208,0.29,57.28,O_178
37.54153106,126.9498753,S_209,1.2,1480.0,O_179
37.54232552,126.9428348,S_210,0.76,281.76,O_180
37.55585899,126.9423208,S_211,0.36,200.0,O_181
37.54715926,126.9351045,S_213,0.62,419.2,O_182
37.55511048,126.9145897,S_215,0.32,72.0,O_183
37.55161665,126.911726,S_216,0.47,144.0,O_184
37.56031134,126.9023171,S_218,0.44,233.27,O_185
37.56450401,126.9220214,S_219,0.16,200.0,O_186
37.56336849,126.9078957,S_220,0.16,96.6,O_187
37.53036563,126.8711898,S_223,0.47,68.9,O_188
37.54614359,126.8717015,S_224,0.38,135.0,O_189
37.54474118,126.8644362,S_225,0.35,47.64,O_190
37.53718334,126.8817165,S_227,0.1,21.53,O_191
37.53280626,126.8315273,S_228,0.93,255.74,O_192
37.52497426,126.8445695,S_229,0.25,139.99,O_193
37.53363175,126.8290822,S_230,0.11,7.63,O_194
37.52469581,126.8400811,S_231,0.36,243.85,O_195
37.53858213,126.8271743,S_232,0.1,18.65,O_196
37.5180156,126.8450865,S_233,0.86,156.56,O_197
37.52188377,126.834709,S_234,5.53,1681.76,O_198
37.51857188,126.8542861,S_235,0.27,68.89,O_199
37.51514715,126.8547892,S_237,0.1,100.0,O_200
37.52456036,126.855803,S_238,0.13,13.0,O_201
37.51705671,126.8643886,S_239,0.28,154.84,O_202
37.51439945,126.8596713,S_240,0.64,259.66,O_203
37.55377136,126.8709657,S_241,0.51,295.34,O_204
37.55582869,126.8589098,S_242,0.24,91.66,O_205
37.54265827,126.8625035,S_243,6.74,5998.94,O_206
37.55888771,126.8479185,S_244,0.2,105.0,O_207
37.54404823,126.8476634,S_245,0.25,100.68,O_208
37.53182784,126.8544885,S_247,0.53,117.6,O_209
37.54252631,126.8384139,S_248,0.79,230.24,O_210
37.53480238,126.8607489,S_249,1.05,905.99,O_211
37.55181666,126.8500765,S_250,0.13,41.09,O_212
37.53269577,126.8483304,S_251,0.15,64.85,O_213
37.54828859,126.8418363,S_252,13.77,5802.12,O_214
37.56948816,126.8447046,S_253,0.39,266.34,O_215
37.56739892,126.8512712,S_254,0.13,21.6,O_216
37.56108697,126.8605577,S_255,0.13,208.0,O_217
37.5531163,126.8331774,S_256,0.3,166.6,O_218
37.55878281,126.8100743,S_257,0.67,509.0,O_219
37.56671508,126.8067403,S_259,2.0,1500.0,O_220
37.57871896,126.8136575,S_260,0.14,79.54,O_221
37.50777999,126.8805952,S_261,0.3,250.0,O_222
37.49304008,126.8757883,S_262,0.45,281.44,O_223
37.4913197,126.883399,S_263,0.12,22.16,O_224
37.48734704,126.89033,S_264,0.24,60.04,O_225
37.49157662,126.8891489,S_265,0.31,20.36,O_226
37.50010311,126.8893378,S_266,0.16,108.0,O_227
37.4825341,126.8897181,S_267,0.4,240.0,O_228
37.50040448,126.8627884,S_268,0.86,806.4,O_229
37.50669208,126.8586053,S_269,0.52,116.0,O_230
37.50024126,126.8511388,S_270,2.07,773.65,O_231
37.49250746,126.8620329,S_271,0.38,38.2,O_232
37.4859944,126.8538383,S_272,0.12,1.82,O_233
37.49702838,126.8451219,S_273,0.6,432.0,O_234
37.48881354,126.8395133,S_274,3.15,2268.0,O_235
37.4938915,126.8314768,S_275,0.28,216.68,O_236
37.48014529,126.8233947,S_276,0.21,11.25,O_237
37.47689182,126.8917817,S_277,0.25,139.9,O_238
37.47021905,126.8970437,S_278,0.24,93.1,O_239
37.4631474,126.9034825,S_279,0.28,22.5,O_240
37.47516041,126.9031745,S_280,0.23,55.3,O_241
37.46755353,126.9021682,S_281,0.87,236.5,O_242
37.45355197,126.9032506,S_282,0.4,125.0,O_243
37.44963195,126.9146119,S_283,0.11,54.0,O_244
37.44025903,126.9058017,S_284,1.1,624.84,O_245
37.45897879,126.9061844,S_285,0.2,200.0,O_246
37.4507346,126.9083415,S_286,0.34,198.0,O_247
37.51466633,126.9093394,S_287,0.13,38.4,O_248
37.52038937,126.9106976,S_288,0.37,25.44,O_249
37.51769391,126.934614,S_289,5.37,1067.0,O_250
37.52512811,126.8974049,S_290,0.32,182.45,O_251
37.53101151,126.8973478,S_291,2.07,880.39,O_252
37.5094934,126.8959996,S_292,0.42,19.44,O_253
37.51710975,126.8995233,S_293,0.44,322.0,O_254
37.53650136,126.8940394,S_295,0.52,133.72,O_255
37.51116875,126.9214422,S_296,0.18,23.53,O_256
37.50729867,126.9077496,S_297,0.64,384.0,O_257
37.50845067,126.9113577,S_298,0.19,124.2,O_258
37.5016416,126.905219,S_299,0.39,154.48,O_259
37.50639203,126.9215141,S_301,0.27,286.0,O_260
37.49273981,126.8982505,S_303,0.23,134.4,O_261
37.49831352,126.8980344,S_304,0.4,200.0,O_262
37.50851669,126.9373567,S_306,2.5,1400.0,O_263
37.49810133,126.9530811,S_307,0.67,269.64,O_264
37.49912572,126.931404,S_309,0.42,450.0,O_265
37.49937464,126.9414012,S_310,0.17,99.0,O_266
37.505777,126.9665927,S_311,0.25,135.07,O_267
37.48310498,126.9787779,S_312,0.15,9.0,O_268
37.48097575,126.9716337,S_315,0.12,1.82,O_269
37.48566276,126.9669792,S_316,0.28,154.84,O_270
37.50815443,126.9263229,S_317,7.32,6557.39,O_271
37.48894469,126.9100394,S_318,0.15,130.5,O_272
37.49841253,126.924544,S_319,0.31,110.0,O_273
37.48817585,126.932778,S_320,0.4,200.0,O_274
37.48530456,126.9424095,S_321,3.9,1209.56,O_275
37.48952989,126.9481596,S_322,5.21,2420.0,O_276
37.48419282,126.9497511,S_323,2.22,973.44,O_277
37.49184717,126.9586277,S_324,0.53,258.0,O_278
37.48064257,126.9570309,S_325,0.35,210.0,O_279
37.4791175,126.9416407,S_326,0.1,48.0,O_280
37.47649632,126.9583326,S_327,3.47,2016.65,O_281
37.47509931,126.9653243,S_328,0.23,141.6,O_282
37.47468786,126.9778753,S_329,0.45,145.13,O_283
37.487396,126.9271139,S_330,0.13,16.34,O_284
37.48541288,126.9180359,S_331,0.28,154.84,O_285
37.47617498,126.9155517,S_333,0.17,98.62,O_286
37.47102189,126.9216418,S_334,0.29,127.6,O_287
37.46151944,126.9187965,S_335,0.38,219.48,O_288
37.47976918,126.9313747,S_336,0.66,68.4,O_289
37.47499588,126.9349996,S_338,0.63,135.92,O_290
37.4701073,126.9329623,S_339,0.11,37.92,O_291
37.49019154,127.0194671,S_341,0.33,63.2,O_292
37.49206947,127.0249478,S_342,0.58,145.78,O_293
37.48371635,127.0119913,S_343,0.18,57.24,O_294
37.50271558,127.02221,S_344,0.17,130.0,O_295
37.51496808,127.0139821,S_345,1.0,13.44,O_296
37.50509404,127.0133786,S_347,0.55,126.68,O_297
37.50458542,126.9944717,S_348,0.33,48.0,O_298
37.51204799,127.0056087,S_349,2.49,2017.98,O_299
37.49748589,127.0003286,S_350,0.17,24.0,O_300
37.48336166,126.9945139,S_352,0.24,98.51,O_301
37.47977264,126.9855596,S_353,0.18,155.0,O_302
37.47843876,126.9999966,S_354,0.1,100.0,O_303
37.48900761,126.9922424,S_355,0.2,140.21,O_304
37.47167106,127.0266688,S_356,0.33,130.0,O_305
37.47064502,127.0412829,S_357,0.1,110.22,O_306
37.44935828,127.0583143,S_358,1.73,1730.8,O_307
37.52397448,127.0227964,S_359,0.34,340.0,O_308
37.5115038,127.0285345,S_360,0.11,104.35,O_309
37.51728313,127.0372042,S_361,0.6,600.0,O_310
37.53061724,127.0306522,S_362,0.26,50.0,O_311
37.5143323,127.062501,S_364,0.21,86.16,O_312
37.51120727,127.0459769,S_365,0.29,57.28,O_313
37.49324481,127.056775,S_366,0.2,150.0,O_314
37.50230433,127.0641877,S_367,0.18,83.6,O_315
37.49972974,127.0578495,S_368,0.27,188.66,O_316
37.49537321,127.0332838,S_369,0.13,56.0,O_317
37.49597383,127.046815,S_370,0.14,64.8,O_318
37.48372308,127.046407,S_372,0.22,154.48,O_319
37.48328034,127.0543931,S_373,0.1,80.0,O_320
37.47881995,127.0516585,S_375,0.25,256.0,O_321
37.48337906,127.0864829,S_376,0.1,25.07,O_322
37.49185469,127.0880264,S_377,0.22,136.9,O_323
37.49215103,127.0736771,S_378,0.14,108.94,O_324
37.48891301,127.1049908,S_379,0.73,164.0,O_325
37.46904926,127.1069125,S_380,0.33,240.0,O_326
37.53807237,127.1220741,S_381,1.8,663.76,O_327
37.49354898,127.1468223,S_384,0.17,116.64,O_328
37.49600273,127.1499482,S_385,5.34,3685.3,O_329
37.49684218,127.1485343,S_386,0.24,76.08,O_330
37.51555725,127.134274,S_389,0.33,96.58,O_331
37.50298784,127.1280698,S_390,1.31,765.04,O_332
37.50626355,127.1093124,S_391,4.3,1429.22,O_333
37.50231833,127.1167367,S_392,0.17,31.6,O_334
37.50356569,127.1036892,S_393,0.19,46.0,O_335
37.50272496,127.0925231,S_394,0.38,220.9,O_336
37.49558031,127.1217613,S_395,0.18,51.1,O_337
37.50304147,127.1230517,S_396,1.0,990.36,O_338
37.49867675,127.1266095,S_397,0.38,378.0,O_339
37.49007382,127.1241807,S_398,0.2,119.96,O_340
37.48696583,127.1324383,S_400,0.71,125.79,O_341
37.48114953,127.1439356,S_401,0.15,30.0,O_342
37.50615944,127.0842989,S_402,0.16,133.0,O_343
37.51189159,127.0885409,S_403,0.64,6.72,O_344
37.51329966,127.0943752,S_404,0.73,280.8,O_345
37.52010823,127.1122446,S_405,2.99,3942.0,O_346
37.51811892,127.1006398,S_406,0.8,622.45,O_347
37.50865223,127.0765197,S_407,0.16,120.0,O_348
37.56504103,127.1739072,S_408,2.17,312.0,O_349
37.55058303,127.1683006,S_409,0.12,81.0,O_350
37.5463638,127.1513524,S_412,0.41,51.85,O_351
37.55728071,127.1515076,S_413,0.13,59.9,O_352
37.56050657,127.1643563,S_414,3.09,2864.04,O_353
37.5514791,127.1326396,S_415,1.0,302.4,O_354
37.5517063,127.1272709,S_416,1.02,499.89,O_355
37.55499636,127.1407841,S_417,0.12,47.88,O_356
37.54502087,127.1367994,S_418,1.34,78.8,O_357
37.54345134,127.1254311,S_419,0.1,39.6,O_358
37.53047772,127.122458,S_421,0.44,233.27,O_359
37.53243047,127.1295408,S_422,0.12,30.0,O_360
37.52604217,127.1328839,S_423,0.26,180.0,O_361
37.53334613,127.1419485,S_425,3.15,2268.0,O_362
37.53334613,127.1419485,S_426,0.52,296.9,O_363
37.47042186,126.6250106,S_427,0.2,96.0,O_364
37.45314708,126.6045123,S_428,0.2,200.0,O_365
37.46765504,126.6340871,S_429,7.06,6327.2,O_366
37.46806974,126.6379078,S_430,0.17,93.85,O_367
37.46923278,126.6357741,S_431,0.18,60.42,O_368
37.47682521,126.6289482,S_432,0.71,342.1,O_369
37.49415709,126.5314783,S_434,3.22,1018.79,O_370
37.48885379,126.5548446,S_435,0.14,64.8,O_371
37.49333114,126.4883441,S_436,0.81,525.0,O_372
37.44390218,126.4024337,S_437,0.1,41.66,O_373
37.48156192,126.6299071,S_439,0.92,92.8,O_374
37.48438723,126.6301776,S_440,0.17,154.54,O_375
37.47849492,126.6333817,S_441,0.2,168.2,O_376
37.48228851,126.6426455,S_442,0.2,142.59,O_377
37.47627201,126.6402265,S_443,0.58,203.98,O_378
37.47581426,126.6426792,S_444,0.75,603.2,O_379
37.47731386,126.6477986,S_447,0.88,295.68,O_380
37.47251183,126.6397792,S_448,0.28,233.4,O_381
37.46724303,126.6472204,S_449,3.08,2045.46,O_382
37.46483916,126.6591374,S_451,0.28,198.0,O_383
37.45480112,126.6585755,S_452,2.46,2073.14,O_384
37.45617741,126.6442199,S_453,0.27,95.19,O_385
37.45255004,126.6402604,S_455,0.99,258.16,O_386
37.43983771,126.6641176,S_456,0.17,149.64,O_387
37.46090745,126.673829,S_458,1.83,1374.0,O_388
37.47092611,126.6661471,S_459,1.0,1000.0,O_389
37.46379112,126.67658,S_460,0.61,192.36,O_390
37.45469924,126.6727245,S_461,0.22,90.44,O_391
37.44488455,126.6740315,S_462,0.22,58.42,O_392
37.45512738,126.6903025,S_463,0.44,399.36,O_393
37.46592091,126.6870501,S_464,0.78,293.22,O_394
37.46127832,126.692311,S_465,0.21,40.0,O_395
37.44844518,126.6776513,S_466,1.09,494.83,O_396
37.44417922,126.6968093,S_468,0.33,120.0,O_397
37.43768495,126.6850043,S_469,0.42,135.0,O_398
37.42737478,126.6550908,S_470,0.51,492.0,O_399
37.42225406,126.6810562,S_473,4.0,460.8,O_400
37.4116668,126.6818349,S_474,0.13,70.34,O_401
37.41933026,126.6919605,S_475,0.23,47.48,O_402
37.42501426,126.666092,S_476,0.11,66.0,O_403
37.40960121,126.6707753,S_477,3.83,4035.39,O_404
37.40275114,126.6693221,S_478,0.51,37.85,O_405
37.40845834,126.6783262,S_479,4.07,3610.0,O_406
37.39105575,126.6520819,S_480,1.14,662.2,O_407
37.37148829,126.6601662,S_482,0.58,150.16,O_408
37.3880856,126.6349147,S_483,0.5,528.0,O_409
37.45611051,126.7133534,S_486,0.12,52.5,O_410
37.45269339,126.6969414,S_487,3.0,243.0,O_411
37.44965914,126.724082,S_488,0.11,30.0,O_412
37.46398154,126.7109443,S_490,0.79,256.5,O_413
37.46613822,126.7145502,S_491,0.17,77.76,O_414
37.46735438,126.6991773,S_492,0.76,576.0,O_415
37.44872104,126.731968,S_493,1.63,193.52,O_416
37.4613903,126.7311606,S_494,2.16,794.4,O_417
37.46196342,126.723005,S_495,2.28,1911.24,O_418
37.45947517,126.7356207,S_496,0.31,360.0,O_419
37.44376732,126.7376512,S_498,0.16,24.36,O_420
37.4358821,126.7473662,S_499,0.88,391.07,O_421
37.42791756,126.7507057,S_500,0.14,42.78,O_422
37.40569003,126.7293204,S_502,0.18,73.5,O_423
37.39776864,126.7263887,S_504,0.4,240.0,O_424
37.49421416,126.7200667,S_505,0.21,84.7,O_425
37.48742998,126.7172026,S_506,0.18,90.0,O_426
37.49360029,126.7283185,S_509,0.63,209.28,O_427
37.48515092,126.7265942,S_510,0.17,46.3,O_428
37.50694981,126.7002276,S_511,0.24,144.0,O_429
37.49074736,126.7095027,S_513,0.56,170.46,O_430
37.50174172,126.7114695,S_514,0.26,325.0,O_431
37.51487345,126.7045398,S_516,15.9,6844.45,O_432
37.51759423,126.7271355,S_517,0.17,70.0,O_433
37.51074234,126.7257122,S_518,0.28,63.04,O_434
37.51818374,126.7371372,S_519,1.0,900.0,O_435
37.51178851,126.7363646,S_520,0.31,420.0,O_436
37.48470342,126.7368841,S_521,0.15,118.08,O_437
37.49481764,126.7371225,S_522,0.23,234.0,O_438
37.50431278,126.7347041,S_523,1.88,543.53,O_439
37.4845362,126.7469541,S_524,0.51,460.0,O_440
37.53246206,126.7121341,S_527,0.12,85.6,O_441
37.5250509,126.7098174,S_528,0.12,22.68,O_442
37.53960519,126.7213477,S_529,0.15,64.85,O_443
37.5450816,126.7283322,S_530,0.33,520.0,O_444
37.53773446,126.7289786,S_531,11.31,7202.42,O_445
37.53456714,126.7417043,S_532,0.25,54.98,O_446
37.53291373,126.7239086,S_534,0.22,93.92,O_447
37.52810351,126.7364231,S_535,1.23,1080.31,O_448
37.57709007,126.7334825,S_536,0.1,125.0,O_449
37.54814426,126.7414507,S_537,0.36,132.48,O_450
37.55937087,126.7593666,S_538,0.25,1.8,O_451
37.56441807,126.6736016,S_539,0.15,140.0,O_452
37.54899055,126.6782347,S_540,0.13,8.9,O_453
37.5326712,126.6537481,S_541,0.23,0.09,O_454
37.53264597,126.644168,S_542,2.17,312.0,O_455
37.51554679,126.6778385,S_546,0.52,315.51,O_456
37.51460915,126.6722848,S_547,0.26,164.0,O_457
37.50250466,126.6746007,S_549,1.18,400.7,O_458
37.50820245,126.6782989,S_550,0.48,440.0,O_459
37.49434385,126.6725871,S_551,0.68,408.0,O_460
37.49083842,126.6848481,S_552,0.2,126.66,O_461
37.49250983,126.6800417,S_553,0.24,19.5,O_462
37.48748624,126.683403,S_554,0.5,155.82,O_463
37.60508641,126.6618003,S_555,2.15,1487.48,O_464
37.61709059,126.6889495,S_556,0.33,130.0,O_465
37.59508062,126.7017079,S_557,3.29,2307.77,O_466
37.59210015,126.6746299,S_558,0.48,47.88,O_467
37.59701626,126.6376311,S_559,0.64,384.0,O_468
37.59537586,126.6737139,S_560,0.12,56.23,O_469
37.59408107,126.7156548,S_561,0.83,366.0,O_470
37.74815636,126.4835215,S_562,0.53,158.76,O_471
37.71355037,126.4848279,S_563,0.71,119.39,O_472
37.68646904,126.4798801,S_564,0.12,80.0,O_473
37.64035969,126.4910236,S_565,1.25,120.0,O_474
37.63169982,126.4198415,S_566,0.31,165.52,O_475
37.66288936,126.4221118,S_567,0.32,114.16,O_476
37.71934284,126.3898168,S_568,0.36,130.0,O_477
37.79823229,126.408698,S_570,0.69,651.08,O_478
37.76465305,126.4630361,S_571,1.79,1386.97,O_479
37.78446054,126.2832345,S_572,0.3,300.0,O_480
37.31031825,126.9974202,S_573,0.2,96.0,O_481
37.29761545,126.9714256,S_574,1.56,471.01,O_482
37.30220846,126.9912945,S_575,0.21,73.8,O_483
37.29507788,127.0004395,S_576,0.47,112.82,O_484
37.29570144,126.9925834,S_577,12.48,9113.84,O_485
37.29314857,127.0139656,S_578,0.31,212.0,O_486
37.30179766,127.0164989,S_580,12.36,3960.14,O_487
37.30561565,127.0096779,S_581,0.23,77.2,O_488
37.29056091,127.0215333,S_582,0.4,226.0,O_489
37.26219335,127.0079806,S_583,0.45,270.0,O_490
37.25805967,126.9941712,S_586,0.26,234.9,O_491
37.2726001,126.9860672,S_587,2.0,1980.72,O_492
37.27711683,126.9714666,S_588,1.11,240.0,O_493
37.27273093,126.9521896,S_589,1.01,600.0,O_494
37.26622817,126.9570475,S_590,0.54,540.0,O_495
37.25775117,127.0246074,S_591,0.1,90.0,O_496
37.25132394,127.0297122,S_592,0.16,140.0,O_497
